id1 id2 k_ibd1 k_ibd2 n predicted_degree most_probable probability
HMB026 HMB534 0.3803 0.0068 37.0 3rd 3rd 0.9855722625406286
HMB026 HMB837 0.9777 0.0195 23.0 PO PO 1.0
HMB026 HMB838 0.9817 0.0155 22.0 PO PO 1.0
HMB026 HMB2285 0.5025 0.0132 45.0 2nd GP 0.998840907133736
HMB026 HMB3033 0.495 0.0082 41.0 2nd GP 0.999575285076675
HMB026 HMB3034 0.5826 0.0072 49.0 2nd MGP 0.8865726300336018
HMB026 HMB3035 0.5745 0.0026 42.0 2nd GP 0.9997204257057747
HMB026 HMB3036 0.4119 0.0 47.0 3rd 3rd 0.7404941986800854
HMB027 HMB302 0.9875 0.0117 22.0 PO PO 1.0
HMB027 HMB376 0.9875 0.0125 22.0 PO PO 1.0
HMB027 HMB438 0.9886 0.0113 23.0 PO PO 1.0
HMB027 HMB530 0.9855 0.0138 22.0 PO PO 1.0
HMB027 HMB2101 0.5038 0.0024 47.0 2nd GP 0.9943992097824385
HMB027 HMB2102 0.5196 0.0062 43.0 2nd GP 0.999514263353957
HMB027 HMB3036 0.5528 0.0026 39.0 2nd GP 0.9889012460882749
HMB027 HMB3099 0.5896 0.005 38.0 2nd GP 0.9781747065543829
HMB028 HMB2099 0.9568 0.0387 22.0 PO PO 1.0
HMB030 HMB1161 0.9438 0.0543 22.0 PO PO 1.0
HMB030 HMB2173 0.9791 0.0209 23.0 PO PO 1.0
HMB030 HMB2174 0.5696 0.0061 48.0 2nd MGP 0.8740369616551515
HMB030 HMB2175 0.5489 0.0035 40.0 2nd GP 0.9999344528082483
HMB030 HMB2176 0.5991 0.0013 50.0 2nd MGP 0.897515657636921
HMB030 HMB3048 0.5531 0.0232 50.0 2nd MGP 0.8916634939016095
HMB031 HMB049 0.474 0.0062 66.0 2nd MHS 0.9477109256680081
HMB031 HMB301 0.9734 0.0223 22.0 PO PO 1.0
HMB031 HMB764 0.9808 0.0171 22.0 PO PO 1.0
HMB031 HMB812 0.5027 0.0156 64.0 2nd MHS 0.9044035567076366
HMB031 HMB871 0.2748 0.0079 65.0 3rd 3rd 0.8650446791365204
HMB031 HMB2167 0.286 0.0038 50.0 3rd 3rd 0.9166855354089376
HMB031 HMB2943 0.4845 0.0011 59.0 2nd HS 0.9986788918837047
HMB031 HMB3089 0.2968 0.0032 58.0 3rd 3rd 0.9513792436523443
HMB031 HMB3090 0.293 0.0059 60.0 3rd 3rd 0.9433162762933958
HMB031 HMB3092 0.3198 0.0111 62.0 3rd 3rd 0.9872185754181731
HMB031 HMB3093 0.2904 0.0074 55.0 3rd 3rd 0.9367567251943778
HMB031 HMB3098 0.293 0.005 55.0 3rd 3rd 0.9425259198617139
HMB031 HMB3100 0.2758 0.0132 60.0 3rd 3rd 0.8806427495218934
HMB031 HMB5081 0.265 0.0041 59.0 3rd 3rd 0.7797965331212611
HMB032 HMB033 0.977 0.0208 22.0 PO PO 1.0
HMB032 HMB167 0.9825 0.0163 22.0 PO PO 1.0
HMB032 HMB381 0.9863 0.013 22.0 PO PO 1.0
HMB032 HMB686 0.5719 0.0117 47.0 2nd MGP 0.8279026280008882
HMB032 HMB2168 0.5602 0.0064 44.0 2nd GP 0.9992093511904254
HMB032 HMB2275 0.4817 0.008 48.0 2nd MGP 0.8262626850874554
HMB032 HMB2276 0.5522 0.0081 49.0 2nd MGP 0.8784754630281684
